Sample in Buffer,Sample in Window,TRIGGER,VISION_i/system_ila_0/inst/probe0_1[2:0],VISION_i/system_ila_0/inst/probe1_1,VISION_i/system_ila_0/inst/probe2_1,VISION_i/system_ila_0/inst/probe3_1,VISION_i/system_ila_0/inst/probe4_1,VISION_i/system_ila_0/inst/probe5_1,VISION_i/system_ila_0/inst/probe6_1,VISION_i/system_ila_0/inst/probe7_1,VISION_i/system_ila_0/inst/probe8_1[10:0],VISION_i/system_ila_0/inst/SLOT_0_BRAM_en_1,VISION_i/system_ila_0/inst/SLOT_0_BRAM_rst_1,VISION_i/system_ila_0/inst/SLOT_0_BRAM_dout_1[31:0],VISION_i/system_ila_0/inst/SLOT_0_BRAM_addr_1[31:0]
70,70,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
71,71,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
72,72,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
73,73,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
74,74,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
75,75,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
76,76,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
77,77,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
78,78,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
79,79,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
80,80,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
81,81,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
82,82,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
83,83,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
84,84,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
85,85,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
86,86,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
87,87,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
88,88,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
89,89,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
90,90,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
91,91,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
92,92,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
93,93,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
94,94,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
95,95,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
96,96,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
97,97,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
98,98,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
99,99,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
100,100,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
101,101,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
102,102,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
103,103,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
104,104,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
105,105,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
106,106,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
107,107,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
108,108,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
109,109,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
110,110,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
111,111,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
112,112,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
113,113,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
114,114,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
115,115,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
116,116,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
117,117,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
118,118,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
119,119,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
120,120,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
121,121,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
122,122,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
123,123,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
124,124,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
125,125,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
126,126,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
127,127,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
128,128,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
129,129,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
130,130,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
131,131,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
132,132,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
133,133,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
134,134,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
135,135,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
136,136,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
137,137,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
138,138,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
139,139,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
140,140,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
141,141,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
142,142,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
143,143,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
144,144,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
145,145,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
146,146,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
147,147,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
148,148,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
149,149,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
150,150,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
151,151,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
152,152,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
153,153,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
154,154,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
155,155,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
156,156,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
157,157,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
158,158,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
159,159,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
160,160,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
161,161,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
162,162,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
163,163,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
164,164,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
165,165,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
166,166,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
167,167,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
168,168,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
169,169,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
170,170,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
171,171,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
172,172,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
173,173,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
174,174,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
175,175,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
176,176,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
177,177,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
178,178,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
179,179,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
180,180,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
181,181,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
182,182,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
183,183,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
184,184,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
185,185,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
186,186,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
